STD_YM|BLOCK_CD|X_COORD|Y_COORD|MAN_FLOW_POP_CNT_10G|MAN_FLOW_POP_CNT_20G|MAN_FLOW_POP_CNT_30G|MAN_FLOW_POP_CNT_40G|MAN_FLOW_POP_CNT_50G|MAN_FLOW_POP_CNT_60GU|WMAN_FLOW_POP_CNT_10G|WMAN_FLOW_POP_CNT_20G|WMAN_FLOW_POP_CNT_30G|WMAN_FLOW_POP_CNT_40G|WMAN_FLOW_POP_CNT_50G|WMAN_FLOW_POP_CNT_60GU
202507|11230510101020000001|956633.991787|1947479.147389|0|0.05|0.05|0.08|0.1|0.05|0.03|0.08|0.05|0.05|0.05|0.05
202507|11230510101020000001|956683.991787|1947429.147389|0|0.08|0.1|0.15|0.15|0.15|0|0.08|0.08|0.08|0.05|0.08
202507|11230510101020000001|956683.991787|1947479.147389|0|0.05|0.05|0.1|0.1|0.08|0.03|0.05|0.05|0.05|0.05|0.08
202507|11230510101020000001|956683.991787|1947579.147389|0.03|0.08|0.15|0.15|0.18|0.15|0|0.08|0.1|0.1|0.1|0.08
202507|11230510101020000001|956733.991787|1947379.147389|0.48|0.69|0.97|1.19|1.22|1.27|0.46|0.71|0.81|0.89|0.79|0.86
202507|11230510101020000001|956733.991787|1947429.147389|0|0.05|0.05|0.05|0.05|0.08|0|0.08|0.05|0.05|0.05|0.08
202507|11230510101020000001|956733.991787|1947479.147389|0|0.05|0.05|0.05|0.05|0.05|0|0.05|0.05|0.05|0.05|0.03
202507|11230510101020000001|956733.991787|1947529.147389|0|0.03|0.05|0.1|0.08|0.05|0|0.05|0.05|0.05|0.05|0
202507|11230510101020000001|956733.991787|1947579.147389|0|0.08|0.1|0.13|0.15|0.1|0|0.08|0.05|0.05|0.05|0.05
202507|11230510101020000001|956733.991787|1947629.147389|0|0.08|0.1|0.1|0.1|0.1|0|0.08|0.08|0.05|0.05|0.08
202507|11030740510010000001|956733.991787|1947679.147389|0.08|0.13|0.18|0.2|0.2|0.18|0.08|0.13|0.15|0.15|0.1|0.1
202507|11230510101020000001|956783.991787|1947329.147389|0.15|0.25|0.41|0.56|0.58|0.58|0.15|0.28|0.36|0.36|0.28|0.25
202507|11230510101020000001|956783.991787|1947379.147389|0|0.05|0.1|0.1|0.1|0.05|0|0.1|0.1|0.1|0.05|0.05
202507|11230510101020000001|956783.991787|1947529.147389|0.03|0.08|0.15|0.2|0.2|0.18|0.03|0.1|0.1|0.1|0.1|0.1
202507|11230510101020000001|956783.991787|1947579.147389|0|0.05|0.05|0.1|0.1|0.08|0.03|0.08|0.05|0.05|0.05|0.05
202507|11230510101020000001|956783.991787|1947679.147389|0|0.03|0.05|0.05|0.05|0.03|0|0.03|0.05|0.05|0.03|0
202507|11230510101020000001|956783.991787|1947729.147389|0|0.03|0.05|0.05|0.05|0.03|0|0.03|0.05|0.05|0.05|0.03
202507|11230510101020000001|956833.991787|1947279.147389|0.08|0.18|0.3|0.33|0.3|0.23|0.08|0.15|0.2|0.2|0.13|0.13
202507|11230510101020000001|956833.991787|1947329.147389|0.1|0.25|0.41|0.51|0.46|0.36|0.13|0.23|0.3|0.3|0.23|0.18
202507|11230510101020000001|956833.991787|1947379.147389|0|0.03|0.05|0.05|0.03|0|0|0.03|0.03|0|0|0
202507|11230510101020000001|956833.991787|1947429.147389|0|0.08|0.1|0.13|0.13|0.1|0|0.13|0.1|0.1|0.08|0.08
202507|11230510101020000001|956833.991787|1947479.147389|0.08|0.13|0.2|0.25|0.25|0.25|0.08|0.15|0.15|0.15|0.13|0.15
202507|11230510101020000001|956833.991787|1947529.147389|0|0.05|0.08|0.1|0.1|0.08|0|0.05|0.05|0.05|0.05|0.05
202507|11230510101020000001|956833.991787|1947579.147389|0.05|0.15|0.25|0.3|0.28|0.23|0.05|0.13|0.18|0.15|0.13|0.1
202507|11230510101020000001|956833.991787|1947629.147389|0|0.08|0.15|0.2|0.23|0.2|0.03|0.08|0.1|0.1|0.1|0.08
202507|11230510101020000001|956833.991787|1947679.147389|0.03|0.1|0.15|0.23|0.25|0.25|0.03|0.13|0.13|0.15|0.13|0.1
202507|11230510101020000001|956833.991787|1947729.147389|0.36|0.84|1.4|1.91|1.98|1.8|0.36|0.89|1.02|1.04|0.91|0.91
202507|11230510101020000001|956833.991787|1947779.147389|1.5|3.56|5.56|6.83|6.93|6.65|1.55|3.61|4.24|4.19|3.66|4.24
202507|11230510101020000001|956883.991787|1947229.147389|0.64|0.94|1.4|1.93|2.06|1.93|0.74|1.14|1.14|1.19|0.97|1.14
202507|11230510101020000001|956883.991787|1947279.147389|0.46|0.91|1.5|1.96|2.11|1.91|0.46|0.84|1.04|1.17|1.07|1.04
202507|11230510101020000001|956883.991787|1947329.147389|0.3|0.53|0.81|1.09|1.12|1.19|0.28|0.53|0.58|0.66|0.61|0.74
202507|11230510101020000001|956883.991787|1947379.147389|0.25|0.51|0.81|1.09|1.17|1.14|0.25|0.51|0.58|0.64|0.56|0.58
202507|11230510101020000001|956883.991787|1947429.147389|0.13|0.23|0.36|0.46|0.48|0.43|0.13|0.25|0.28|0.3|0.23|0.23
202507|11230510101020000001|956883.991787|1947479.147389|0.15|0.2|0.36|0.41|0.41|0.41|0.15|0.23|0.25|0.25|0.23|0.25
202507|11230510101020000001|956883.991787|1947529.147389|0.1|0.2|0.3|0.36|0.38|0.38|0.15|0.23|0.25|0.25|0.2|0.23
202507|11230510101020000001|956883.991787|1947579.147389|0.03|0.08|0.15|0.18|0.2|0.18|0.03|0.1|0.1|0.1|0.1|0.08
202507|11230510101020000001|956883.991787|1947629.147389|0|0.08|0.1|0.15|0.15|0.13|0.03|0.1|0.1|0.1|0.08|0.08
202507|11230510101020000001|956883.991787|1947679.147389|0.48|1.14|1.85|2.44|2.57|2.31|0.53|1.24|1.37|1.42|1.22|1.24
202507|11230510101020000001|956883.991787|1947729.147389|1.24|2.92|4.62|5.87|6.02|5.72|1.32|3.1|3.51|3.53|3.02|3.35
202507|11230510101020000001|956883.991787|1947779.147389|1.78|4.62|7.16|8.74|9.02|8.74|1.88|4.75|5.41|5.18|4.6|5.23
202507|11230510101020000001|956883.991787|1947829.147389|1.3|3.2|4.98|6.25|6.48|6.25|1.42|3.38|3.73|3.66|3.15|3.61
202507|11230510101020000001|956933.991787|1947229.147389|0.79|1.68|2.69|3.48|3.66|3.1|0.89|1.88|2.06|2.13|1.7|1.57
202507|11230510101020000001|956933.991787|1947279.147389|0.61|1.27|1.98|2.64|2.9|2.59|0.66|1.42|1.47|1.6|1.42|1.4
202507|11230510101020000001|956933.991787|1947329.147389|0.1|0.23|0.38|0.51|0.51|0.41|0.13|0.23|0.28|0.3|0.23|0.2
202507|11230510101020000001|956933.991787|1947379.147389|0.08|0.23|0.38|0.53|0.58|0.51|0.1|0.3|0.33|0.3|0.28|0.25
202507|11230510101020000001|956933.991787|1947429.147389|0.08|0.2|0.3|0.38|0.38|0.38|0.13|0.25|0.25|0.25|0.23|0.25
202507|11230510101020000001|956933.991787|1947479.147389|0.15|0.2|0.36|0.43|0.46|0.46|0.15|0.25|0.28|0.25|0.23|0.28
202507|11230510101020000001|956933.991787|1947529.147389|0.08|0.2|0.3|0.41|0.48|0.43|0.1|0.28|0.25|0.25|0.23|0.25
202507|11230510101020000001|956933.991787|1947579.147389|0.25|0.38|0.58|0.76|0.81|0.74|0.28|0.51|0.48|0.51|0.41|0.46
202507|11230510101020000001|956933.991787|1947629.147389|0.58|1.07|1.68|2.16|2.24|2.06|0.61|1.14|1.27|1.32|1.14|1.3
202507|11230510101020000001|956933.991787|1947679.147389|1.02|2.54|3.99|4.93|5|4.78|1.09|2.64|3.02|2.95|2.49|2.82
202507|11230510101020000001|956933.991787|1947729.147389|0.58|1.45|2.29|2.87|3|2.79|0.61|1.63|1.73|1.7|1.42|1.55
202507|11230510101020000001|956933.991787|1947779.147389|0.1|0.33|0.53|0.69|0.66|0.61|0.1|0.36|0.41|0.36|0.3|0.28
202507|11230510101020000001|956933.991787|1947829.147389|0.28|0.66|1.02|1.3|1.37|1.37|0.3|0.71|0.76|0.74|0.66|0.69
202507|11230510101020000001|956933.991787|1947879.147389|0.33|0.79|1.19|1.42|1.42|1.3|0.36|0.79|0.86|0.84|0.69|0.71
202507|11230510101020000001|956933.991787|1947929.147389|0.1|0.33|0.48|0.61|0.66|0.58|0.1|0.36|0.38|0.36|0.3|0.28
202507|11230510101020000001|956983.991787|1947179.147389|3.68|6.6|10.19|13.21|14.1|13.49|3.91|7.19|7.7|8.13|7.04|7.92
202507|11230510101020000001|956983.991787|1947229.147389|4.04|7.7|11.68|14.83|15.49|14.91|4.37|8.05|8.74|9.09|7.82|9.04
202507|11230510101020000001|956983.991787|1947279.147389|0.97|1.91|2.84|3.61|3.86|3.81|1.04|2.08|2.24|2.36|2.08|2.46
202507|11230510101020000001|956983.991787|1947329.147389|0.08|0.2|0.3|0.43|0.48|0.43|0.1|0.23|0.23|0.25|0.23|0.28
202507|11230510101020000001|956983.991787|1947379.147389|0.23|0.48|0.71|0.89|0.94|0.89|0.25|0.56|0.56|0.56|0.51|0.53
202507|11230510101020000001|956983.991787|1947429.147389|0.15|0.25|0.41|0.51|0.51|0.51|0.15|0.28|0.28|0.3|0.28|0.33
202507|11230510101020000001|956983.991787|1947479.147389|0.3|0.46|0.66|0.89|0.97|0.89|0.36|0.64|0.58|0.61|0.51|0.58
202507|11230510101020000001|956983.991787|1947529.147389|1.47|2.36|3.51|4.24|4.37|4.29|1.5|2.44|2.79|2.9|2.51|2.92
202507|11230510101020000001|956983.991787|1947579.147389|1.6|3.07|4.62|5.56|5.66|5.59|1.68|3.15|3.66|3.61|3.15|3.58
202507|11230510101020000001|956983.991787|1947629.147389|0.86|2.13|3.38|4.19|4.29|4.17|0.94|2.24|2.51|2.49|2.16|2.51
202507|11230510101020000001|956983.991787|1947679.147389|0.33|0.66|0.99|1.3|1.35|1.32|0.43|0.84|0.84|0.84|0.74|0.84
202507|11230510101020000001|956983.991787|1947729.147389|0.08|0.13|0.2|0.23|0.28|0.23|0.08|0.18|0.15|0.15|0.13|0.13
202507|11230510101020000001|956983.991787|1947779.147389|0.15|0.33|0.51|0.61|0.66|0.58|0.18|0.43|0.43|0.41|0.33|0.36
202507|11230510101020000001|956983.991787|1947829.147389|0.08|0.28|0.46|0.56|0.53|0.46|0.1|0.3|0.33|0.3|0.25|0.2
202507|11230510101020000001|956983.991787|1947879.147389|0.43|1.02|1.57|2.08|2.21|2.11|0.46|0.99|1.07|1.07|0.97|0.99
