STD_YM|BLOCK_CD|X_COORD|Y_COORD|TMST_00|TMST_01|TMST_02|TMST_03|TMST_04|TMST_05|TMST_06|TMST_07|TMST_08|TMST_09|TMST_10|TMST_11|TMST_12|TMST_13|TMST_14|TMST_15|TMST_16|TMST_17|TMST_18|TMST_19|TMST_20|TMST_21|TMST_22|TMST_23
202511|32010350100010000001|1000583.991787|1969379.147389|0.03|0.03|0|0|0|0|0.03|0.03|0.08|0.08|0.08|0.08|0.08|0.08|0.1|0.1|0.08|0.05|0.05|0.03|0.03|0.03|0.03|0.03
202511|32010350100010000001|1000583.991787|1969429.147389|0|0|0|0|0|0|0|0.03|0.05|0.05|0.05|0.08|0.08|0.08|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0|0.03
202511|32010350100010000001|1000583.991787|1969529.147389|0|0|0|0|0|0|0|0.03|0.05|0.05|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.05|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000583.991787|1969579.147389|0|0|0|0|0|0|0|0|0|0.03|0.03|0.03|0|0.03|0.03|0.03|0.03|0.03|0|0|0|0|0|0
202511|32010350100010000001|1000583.991787|1969629.147389|0.03|0.03|0|0|0|0|0.03|0.05|0.08|0.1|0.1|0.13|0.13|0.13|0.13|0.13|0.13|0.08|0.08|0.05|0.05|0.03|0.03|0.03
202511|32010350100010000001|1000583.991787|1969679.147389|0.03|0.03|0|0|0|0.03|0.05|0.1|0.13|0.18|0.23|0.25|0.23|0.28|0.28|0.25|0.2|0.15|0.13|0.08|0.08|0.05|0.05|0.03
202511|32010350100010000001|1000583.991787|1969779.147389|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.05|0.05|0.08|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0|0|0
202511|32010350100010000001|1000583.991787|1969829.147389|0|0|0|0|0|0|0|0|0|0|0|0|0|0.03|0|0|0|0|0|0|0|0|0|0
202511|32010350100010000001|1000633.991787|1969379.147389|0.03|0.03|0|0|0|0|0.03|0.03|0.08|0.08|0.08|0.08|0.08|0.1|0.1|0.1|0.1|0.05|0.05|0.03|0.03|0.03|0.03|0.03
202511|32010350100010000001|1000633.991787|1969529.147389|0|0|0|0|0|0|0|0.03|0.05|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.05|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000633.991787|1969579.147389|0|0.03|0|0|0|0|0.03|0.08|0.13|0.15|0.18|0.2|0.15|0.23|0.23|0.23|0.2|0.15|0.13|0.08|0.05|0.03|0.03|0.03
202511|32010350100010000001|1000633.991787|1969679.147389|0.03|0.03|0|0|0|0|0.05|0.1|0.15|0.18|0.23|0.25|0.25|0.3|0.3|0.28|0.25|0.18|0.13|0.1|0.05|0.05|0.05|0.03
202511|32010350100010000001|1000633.991787|1969729.147389|0|0|0|0|0|0|0|0.03|0.05|0.05|0.05|0.08|0.05|0.08|0.08|0.08|0.08|0.05|0.05|0.03|0.03|0.03|0.03|0.03
202511|32010350100010000001|1000683.991787|1969429.147389|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000683.991787|1969479.147389|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000683.991787|1969529.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000683.991787|1970029.147389|0|0|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0|0|0|0|0|0|0
202511|32010350100010000001|1000683.991787|1970079.147389|0|0|0|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0|0|0|0|0|0|0
202511|32010350100010000001|1000683.991787|1970129.147389|0|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0|0|0|0|0
202511|32010350100010000001|1000733.991787|1969379.147389|0|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0|0.03|0|0|0
202511|32010350100010000001|1000733.991787|1969579.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.05|0.08|0.08|0.1|0.08|0.08|0.08|0.05|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000733.991787|1969629.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.05|0.1|0.08|0.13|0.1|0.1|0.08|0.05|0.03|0.03|0|0|0|0
202511|32010350100010000001|1000733.991787|1969929.147389|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000783.991787|1969529.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.08|0.1|0.08|0.13|0.13|0.13|0.1|0.08|0.05|0.03|0|0|0|0
202511|32010350100010000001|1000783.991787|1969579.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.08|0.15|0.25|0.33|0.41|0.43|0.46|0.51|0.51|0.58|0.51|0.43|0.28|0.18|0.1|0.1|0.08|0.05
202511|32010350100010000001|1000783.991787|1969629.147389|0.03|0.03|0|0.03|0|0.03|0.03|0.08|0.13|0.18|0.2|0.23|0.18|0.2|0.23|0.23|0.23|0.15|0.13|0.08|0.05|0.05|0.03|0.03
202511|32010350100010000001|1000783.991787|1970029.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0|0.03|0
202511|32010350100010000001|1000833.991787|1969379.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0|0|0
202511|32010350100010000001|1000833.991787|1969429.147389|0.03|0.03|0|0|0|0|0.03|0.05|0.1|0.13|0.13|0.13|0.1|0.13|0.15|0.15|0.13|0.08|0.08|0.05|0.05|0.03|0.03|0.03
202511|32010350100010000001|1000833.991787|1969479.147389|0.03|0.05|0.03|0.03|0.03|0.03|0.05|0.1|0.2|0.28|0.3|0.33|0.3|0.36|0.36|0.36|0.36|0.23|0.18|0.13|0.1|0.08|0.05|0.05
202511|32010350100010000001|1000833.991787|1969529.147389|0.05|0.05|0.03|0.03|0.03|0.05|0.08|0.15|0.28|0.38|0.46|0.51|0.43|0.53|0.56|0.56|0.53|0.36|0.25|0.18|0.13|0.1|0.08|0.08
202511|32010350100010000001|1000833.991787|1969579.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.08|0.18|0.3|0.43|0.51|0.58|0.53|0.71|0.66|0.66|0.58|0.41|0.3|0.2|0.13|0.1|0.08|0.05
202511|32010350100010000001|1000833.991787|1969629.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.1|0.2|0.25|0.3|0.36|0.33|0.41|0.38|0.41|0.38|0.28|0.2|0.13|0.1|0.08|0.05|0.05
202511|32010350100010000001|1000833.991787|1969929.147389|0|0|0|0|0|0|0.03|0.03|0.03|0.08|0.08|0.13|0.1|0.13|0.1|0.13|0.1|0.08|0.05|0.03|0.03|0.03|0.03|0.03
202511|32010350100010000001|1000833.991787|1969979.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.05|0.13|0.15|0.15|0.13|0.15|0.18|0.18|0.18|0.1|0.08|0.08|0.05|0.05|0.05|0.03
202511|32010350100010000001|1000833.991787|1970029.147389|0.03|0.05|0.03|0.03|0.03|0.03|0.05|0.1|0.15|0.2|0.25|0.3|0.25|0.3|0.33|0.36|0.36|0.2|0.18|0.13|0.1|0.1|0.08|0.08
202511|32010350100010000001|1000833.991787|1970079.147389|0|0|0|0|0|0|0|0.03|0.03|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0.03|0|0|0
202511|32010350100010000001|1000883.991787|1969429.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000883.991787|1969479.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.08|0.08|0.08|0.08|0.08|0.08|0.08|0.05|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000883.991787|1969529.147389|0.05|0.05|0.03|0.03|0.03|0.05|0.08|0.15|0.28|0.38|0.43|0.48|0.43|0.53|0.53|0.53|0.51|0.36|0.25|0.18|0.13|0.1|0.08|0.08
202511|32010350100010000001|1000883.991787|1969579.147389|0.08|0.08|0.05|0.05|0.05|0.08|0.18|0.41|0.66|0.84|1.02|1.12|1.07|1.35|1.3|1.35|1.17|0.89|0.64|0.41|0.28|0.2|0.15|0.13
202511|32010350100010000001|1000883.991787|1969629.147389|0.05|0.05|0.03|0.03|0.03|0.05|0.08|0.18|0.36|0.46|0.51|0.58|0.53|0.69|0.64|0.66|0.61|0.43|0.33|0.2|0.15|0.13|0.08|0.08
202511|32010350100010000001|1000883.991787|1969679.147389|0.08|0.08|0.03|0.03|0.03|0.05|0.13|0.25|0.41|0.53|0.64|0.76|0.69|0.86|0.81|0.81|0.74|0.53|0.38|0.28|0.2|0.15|0.13|0.1
202511|32010350100010000001|1000883.991787|1969729.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.05|0.1|0.08|0.13|0.13|0.13|0.1|0.08|0.05|0.03|0|0|0|0
202511|32010350100010000001|1000883.991787|1969779.147389|0.03|0.03|0|0|0|0.03|0.08|0.18|0.3|0.36|0.46|0.58|0.53|0.71|0.64|0.71|0.58|0.46|0.3|0.18|0.1|0.08|0.05|0.05
202511|32010350100010000001|1000883.991787|1969829.147389|0|0|0|0|0|0|0.03|0.03|0.05|0.08|0.08|0.13|0.1|0.15|0.13|0.13|0.1|0.08|0.08|0.03|0.03|0.03|0.03|0.03
202511|32010350100010000001|1000883.991787|1969879.147389|0.03|0.05|0.03|0.03|0.03|0.03|0.05|0.08|0.13|0.2|0.23|0.3|0.25|0.33|0.3|0.3|0.3|0.2|0.15|0.13|0.08|0.08|0.08|0.05
202511|32010350100010000001|1000883.991787|1969929.147389|0.05|0.05|0.03|0.03|0.03|0.03|0.08|0.15|0.2|0.28|0.33|0.41|0.36|0.46|0.46|0.46|0.41|0.28|0.2|0.15|0.13|0.1|0.08|0.08
202511|32010350100010000001|1000883.991787|1969979.147389|0.03|0.03|0|0|0.03|0.03|0.03|0.05|0.08|0.1|0.13|0.15|0.1|0.13|0.13|0.15|0.13|0.08|0.08|0.05|0.05|0.03|0.03|0.03
202511|32010350100010000001|1000883.991787|1970029.147389|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.03|0.03|0.03|0.03|0.03|0.03|0.03
202511|32010350100010000001|1000883.991787|1970079.147389|0.03|0.03|0|0|0.03|0|0.03|0.05|0.08|0.13|0.15|0.18|0.15|0.18|0.2|0.2|0.2|0.1|0.1|0.08|0.08|0.05|0.05|0.05
202511|32010350100010000001|1000883.991787|1970129.147389|0|0|0|0|0|0|0|0.03|0.03|0.05|0.05|0.08|0.05|0.08|0.08|0.08|0.08|0.05|0.03|0.03|0.03|0.03|0.03|0.03
202511|32010350100010000001|1000883.991787|1970479.147389|0|0|0|0|0|0|0|0|0|0|0|0.03|0|0|0|0|0|0|0|0|0|0|0|0
202511|32010350100010000001|1000883.991787|1970529.147389|0|0|0|0|0|0|0|0|0|0|0|0.03|0|0.03|0|0|0|0|0|0|0|0|0|0
202511|32010350100010000001|1000933.991787|1969179.147389|0|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.05|0.05|0.03|0.03|0.03|0.03|0|0|0|0
202511|32010350100010000001|1000933.991787|1969229.147389|0|0|0|0|0|0|0|0.03|0.03|0.03|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.03|0.03|0.03|0.03|0.03|0|0
202511|32010350100010000001|1000933.991787|1969279.147389|0|0|0|0|0|0|0|0|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0.03|0|0|0
