STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
202509|32010350100010000001|1000583.991787|1969379.147389|2.41|2.51|1.93|2.57|2.62|0|0
202509|32010350100010000001|1000583.991787|1969429.147389|1.32|1.42|1.42|1.32|1.63|0|0
202509|32010350100010000001|1000583.991787|1969529.147389|1.88|1.8|1.47|1.91|2.01|0|0
202509|32010350100010000001|1000583.991787|1969579.147389|0.41|0.23|0.15|0.28|0.28|0|0
202509|32010350100010000001|1000583.991787|1969629.147389|2.87|2.92|2.59|2.9|3.28|0|0
202509|32010350100010000001|1000583.991787|1969679.147389|2.57|2.49|2.06|2.49|3.58|0|0
202509|32010350100010000001|1000583.991787|1969779.147389|0.97|0.99|0.97|0.91|1.14|0.03|0.03
202509|32010350100010000001|1000583.991787|1969829.147389|0.08|0.05|0.03|0.05|0.08|0|0
202509|32010350100010000001|1000633.991787|1969179.147389|0.15|0.13|0.1|0.13|0.15|0|0
202509|32010350100010000001|1000633.991787|1969379.147389|2.44|2.57|1.96|2.59|2.67|0|0
202509|32010350100010000001|1000633.991787|1969529.147389|2.01|1.93|1.55|2.01|2.13|0|0
202509|32010350100010000001|1000633.991787|1969579.147389|3.56|3.25|3.12|3.66|3.91|0|0
202509|32010350100010000001|1000633.991787|1969679.147389|3.05|2.87|2.54|2.97|3.78|0|0
202509|32010350100010000001|1000633.991787|1969729.147389|1.5|1.45|1.37|1.55|1.8|0|0
202509|32010350100010000001|1000633.991787|1969929.147389|0.05|0.03|0.03|0.03|0.05|0|0
202509|32010350100010000001|1000633.991787|1970129.147389|0.05|0.05|0.05|0.08|0.1|0.05|0.05
202509|32010350100010000001|1000683.991787|1969279.147389|0.1|0.13|0.1|0.15|0.13|0|0
202509|32010350100010000001|1000683.991787|1969429.147389|0.69|0.69|0.51|0.91|0.89|0|0
202509|32010350100010000001|1000683.991787|1969479.147389|0.71|0.69|0.53|0.91|0.91|0|0
202509|32010350100010000001|1000683.991787|1969529.147389|1.02|0.99|0.76|1.32|1.3|0|0
202509|32010350100010000001|1000683.991787|1969979.147389|1.04|1.02|0.79|0.91|1.22|0|0
202509|32010350100010000001|1000683.991787|1970079.147389|0.3|0.3|0.25|0.3|0.46|0.03|0.03
202509|32010350100010000001|1000683.991787|1970129.147389|0.05|0.03|0.03|0.03|0.03|0|0
202509|32010350100010000001|1000733.991787|1969379.147389|0.61|0.61|0.46|0.81|0.79|0|0
202509|32010350100010000001|1000733.991787|1969579.147389|4.29|4.11|3.18|4.14|5.11|0|0
202509|32010350100010000001|1000733.991787|1969629.147389|1.75|1.5|1.27|1.57|1.93|0|0
202509|32010350100010000001|1000733.991787|1969929.147389|1.02|1.09|1.09|1.02|1.24|0|0
202509|32010350100010000001|1000733.991787|1970229.147389|0.05|0.03|0.03|0.05|0.05|0.13|0.1
202509|32010350100010000001|1000783.991787|1969529.147389|2.11|1.88|1.6|1.98|2.39|0|0
202509|32010350100010000001|1000783.991787|1969579.147389|9.07|8.61|7.26|9.75|10.39|0|0
202509|32010350100010000001|1000783.991787|1969629.147389|2.49|2.39|1.91|2.49|2.64|0|0
202509|32010350100010000001|1000783.991787|1970029.147389|0.99|0.97|0.81|0.97|1.45|0|0
202509|32010350100010000001|1000783.991787|1970279.147389|0.03|0.03|0.03|0.03|0.03|0.08|0.08
202509|32010350100010000001|1000833.991787|1969079.147389|0.03|0.03|0|0.03|0.03|0|0
202509|32010350100010000001|1000833.991787|1969129.147389|0.03|0.03|0.03|0.03|0.03|0|0
202509|32010350100010000001|1000833.991787|1969379.147389|1.3|1.24|0.99|1.3|1.37|0|0
202509|32010350100010000001|1000833.991787|1969429.147389|3.63|3.68|2.87|3.78|3.91|0|0
202509|32010350100010000001|1000833.991787|1969479.147389|7.87|8.05|6.86|8.56|9.02|0|0
202509|32010350100010000001|1000833.991787|1969529.147389|12.04|11.91|9.91|12.93|13.61|0.03|0.03
202509|32010350100010000001|1000833.991787|1969579.147389|11.68|10.9|9.6|12.32|12.98|0.03|0.03
202509|32010350100010000001|1000833.991787|1969629.147389|8.31|7.85|6.73|8.64|9.55|0.03|0.03
202509|32010350100010000001|1000833.991787|1969929.147389|2.13|2.01|1.7|2.06|2.77|0.03|0.03
202509|32010350100010000001|1000833.991787|1969979.147389|2.51|2.44|2.13|2.74|3.43|0|0
202509|32010350100010000001|1000833.991787|1970029.147389|7.11|6.76|5.84|7.01|9.37|0|0
