STD_YM|BLOCK_CD|X_COORD|Y_COORD|MAN_FLOW_POP_CNT_10G|MAN_FLOW_POP_CNT_20G|MAN_FLOW_POP_CNT_30G|MAN_FLOW_POP_CNT_40G|MAN_FLOW_POP_CNT_50G|MAN_FLOW_POP_CNT_60GU|WMAN_FLOW_POP_CNT_10G|WMAN_FLOW_POP_CNT_20G|WMAN_FLOW_POP_CNT_30G|WMAN_FLOW_POP_CNT_40G|WMAN_FLOW_POP_CNT_50G|WMAN_FLOW_POP_CNT_60GU
202509|11230510101020000001|956633.991787|1947479.147389|0|0.05|0.05|0.08|0.1|0.05|0|0.05|0.05|0.05|0.05|0.03
202509|11230510101020000001|956683.991787|1947429.147389|0|0.08|0.1|0.15|0.13|0.15|0|0.08|0.08|0.05|0.05|0.05
202509|11230510101020000001|956683.991787|1947479.147389|0.03|0.05|0.05|0.1|0.1|0.08|0.05|0.05|0.05|0.08|0.05|0.08
202509|11230510101020000001|956683.991787|1947579.147389|0|0.08|0.1|0.15|0.15|0.15|0|0.08|0.1|0.1|0.08|0.08
202509|11230510101020000001|956733.991787|1947379.147389|0.36|0.64|0.94|1.14|1.17|1.19|0.33|0.69|0.76|0.81|0.76|0.84
202509|11230510101020000001|956733.991787|1947429.147389|0|0.05|0.05|0.05|0.05|0.08|0|0.08|0.08|0.05|0.05|0.08
202509|11230510101020000001|956733.991787|1947479.147389|0|0.03|0.05|0.05|0.05|0.03|0|0.05|0.05|0.05|0.03|0
202509|11230510101020000001|956733.991787|1947529.147389|0|0.03|0.05|0.05|0.05|0.05|0|0.05|0.05|0.05|0.03|0
202509|11230510101020000001|956733.991787|1947579.147389|0|0.08|0.1|0.15|0.15|0.1|0|0.08|0.08|0.08|0.05|0.05
202509|11230510101020000001|956733.991787|1947629.147389|0|0.05|0.1|0.1|0.1|0.1|0|0.08|0.05|0.05|0.05|0.08
202509|11030740510010000001|956733.991787|1947679.147389|0.08|0.13|0.2|0.25|0.25|0.2|0.08|0.13|0.15|0.15|0.13|0.13
202509|11230510101020000001|956783.991787|1947329.147389|0.08|0.18|0.38|0.51|0.58|0.58|0.08|0.23|0.3|0.25|0.28|0.28
202509|11230510101020000001|956783.991787|1947379.147389|0|0.08|0.1|0.1|0.1|0.08|0|0.1|0.1|0.1|0.08|0.05
202509|11230510101020000001|956783.991787|1947479.147389|0|0.03|0.05|0.05|0.05|0|0|0.05|0.05|0.03|0.03|0
202509|11230510101020000001|956783.991787|1947529.147389|0|0.08|0.13|0.15|0.18|0.18|0|0.1|0.1|0.1|0.1|0.08
202509|11230510101020000001|956783.991787|1947579.147389|0|0.05|0.05|0.1|0.1|0.08|0|0.08|0.05|0.05|0.05|0.05
202509|11230510101020000001|956783.991787|1947679.147389|0.08|0.3|0.51|0.61|0.56|0.56|0.08|0.25|0.3|0.28|0.23|0.23
202509|11230510101020000001|956783.991787|1947729.147389|0|0.03|0.05|0.05|0.05|0.03|0|0.03|0.05|0.03|0.03|0
202509|11230510101020000001|956833.991787|1947279.147389|0.05|0.15|0.3|0.36|0.3|0.23|0.05|0.15|0.2|0.2|0.15|0.13
202509|11230510101020000001|956833.991787|1947329.147389|0.18|0.58|0.89|1.14|1.24|1.04|0.25|0.81|0.71|0.71|0.61|0.58
202509|11230510101020000001|956833.991787|1947379.147389|0|0.03|0.05|0.05|0.05|0.05|0|0.03|0.05|0.03|0|0
202509|11230510101020000001|956833.991787|1947429.147389|0|0.08|0.1|0.13|0.13|0.1|0|0.13|0.1|0.1|0.08|0.08
202509|11230510101020000001|956833.991787|1947479.147389|0.08|0.15|0.2|0.25|0.25|0.25|0.08|0.18|0.18|0.15|0.13|0.15
202509|11230510101020000001|956833.991787|1947529.147389|0|0.08|0.13|0.15|0.18|0.13|0|0.1|0.1|0.1|0.08|0.08
202509|11230510101020000001|956833.991787|1947579.147389|0.05|0.15|0.28|0.36|0.36|0.28|0.05|0.18|0.2|0.2|0.15|0.15
202509|11230510101020000001|956833.991787|1947629.147389|0|0.08|0.15|0.2|0.23|0.23|0|0.08|0.1|0.1|0.1|0.1
202509|11230510101020000001|956833.991787|1947679.147389|0|0.08|0.15|0.2|0.23|0.2|0.03|0.13|0.1|0.1|0.1|0.1
