STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
202507|32010350100010000001|1000583.991787|1969379.147389|1.6|1.55|2.03|1.98|2.39|0|0
202507|32010350100010000001|1000583.991787|1969429.147389|2.03|2.03|1.98|2.06|1.98|0|0
202507|32010350100010000001|1000583.991787|1969529.147389|1.78|1.7|2.06|2.01|2.31|0|0
202507|32010350100010000001|1000583.991787|1969579.147389|0.33|0.38|0.3|0.3|0.3|0|0
202507|32010350100010000001|1000583.991787|1969629.147389|1.91|1.91|1.85|1.91|1.85|0|0
202507|32010350100010000001|1000583.991787|1969679.147389|1.7|1.83|1.68|1.85|1.37|0|0
202507|32010350100010000001|1000583.991787|1969779.147389|1.45|1.4|1.4|1.45|1.37|0.03|0.03
202507|32010350100010000001|1000583.991787|1969829.147389|0.08|0.08|0.1|0.08|0.08|0|0
202507|32010350100010000001|1000633.991787|1969179.147389|0.2|0.18|0.18|0.2|0.2|0|0
202507|32010350100010000001|1000633.991787|1969379.147389|1.63|1.57|2.06|2.01|2.41|0|0
202507|32010350100010000001|1000633.991787|1969529.147389|1.91|1.8|2.18|2.13|2.46|0|0
202507|32010350100010000001|1000633.991787|1969579.147389|2.01|1.85|1.75|1.96|1.68|0|0
202507|32010350100010000001|1000633.991787|1969679.147389|2.41|2.49|2.31|2.49|2.18|0|0
202507|32010350100010000001|1000633.991787|1969729.147389|2.13|2.24|2.03|2.21|1.93|0|0
202507|32010350100010000001|1000633.991787|1969929.147389|0.05|0.05|0.08|0.05|0.05|0|0
202507|32010350100010000001|1000633.991787|1970129.147389|0.05|0.05|0.05|0.05|0.05|0.05|0.03
202507|32010350100010000001|1000683.991787|1969279.147389|0.15|0.13|0.1|0.13|0.15|0|0
202507|32010350100010000001|1000683.991787|1969429.147389|1.02|0.81|0.71|0.76|0.91|0|0
202507|32010350100010000001|1000683.991787|1969479.147389|1.04|0.84|0.74|0.79|0.94|0|0
202507|32010350100010000001|1000683.991787|1969529.147389|1.47|1.19|1.04|1.12|1.35|0|0
202507|32010350100010000001|1000683.991787|1970079.147389|0.46|0.48|0.46|0.51|0.38|0.03|0.03
202507|32010350100010000001|1000683.991787|1970129.147389|0.05|0.05|0.05|0.05|0.05|0|0
202507|32010350100010000001|1000733.991787|1969379.147389|0.89|0.71|0.64|0.69|0.81|0|0
202507|32010350100010000001|1000733.991787|1969579.147389|6.93|6.48|5.84|6.58|6.78|0|0
202507|32010350100010000001|1000733.991787|1969629.147389|2.84|2.26|1.93|2.49|2.11|0|0
202507|32010350100010000001|1000783.991787|1969529.147389|3.56|2.82|2.31|3.07|2.59|0|0
202507|32010350100010000001|1000783.991787|1969579.147389|11.28|11.05|10.92|11.38|12.09|0|0
202507|32010350100010000001|1000783.991787|1969629.147389|2.34|2.24|2.69|2.62|3.05|0|0
202507|32010350100010000001|1000783.991787|1970029.147389|1.45|1.55|1.42|1.55|1.17|0|0
202507|32010350100010000001|1000783.991787|1970279.147389|0.03|0.03|0.05|0.05|0.03|0.1|0.1
202507|32010350100010000001|1000833.991787|1969079.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.03
202507|32010350100010000001|1000833.991787|1969129.147389|0.03|0.03|0.03|0.03|0.03|0|0
202507|32010350100010000001|1000833.991787|1969379.147389|1.22|1.17|1.4|1.37|1.6|0|0
202507|32010350100010000001|1000833.991787|1969429.147389|2.82|2.69|3.4|3.3|3.91|0|0
202507|32010350100010000001|1000833.991787|1969479.147389|8.76|8.43|8.71|9.09|9.63|0|0
202507|32010350100010000001|1000833.991787|1969529.147389|13.77|12.57|12.6|13.79|14.22|0.03|0.03
202507|32010350100010000001|1000833.991787|1969579.147389|15.6|14.12|13.26|14.91|14.33|0.03|0.03
202507|32010350100010000001|1000833.991787|1969629.147389|11.2|10.19|9.65|10.74|10.41|0.05|0.05
202507|32010350100010000001|1000833.991787|1969929.147389|3.4|3.07|2.69|3.25|2.57|0.05|0.05
202507|32010350100010000001|1000833.991787|1969979.147389|3.61|3.53|3.66|4.11|3.2|0|0
202507|32010350100010000001|1000833.991787|1970029.147389|11.51|11.05|11.48|12.5|10.9|0|0
202507|32010350100010000001|1000833.991787|1970079.147389|1.27|1.37|1.27|1.37|1.04|0|0
202507|32010350100010000001|1000833.991787|1970379.147389|0.03|0.03|0.03|0.03|0.03|0.05|0.03
202507|32010350100010000001|1000883.991787|1968579.147389|0|0|0|0|0|0.03|0
202507|32010350100010000001|1000883.991787|1969079.147389|0|0|0|0|0.03|0|0
202507|32010350100010000001|1000883.991787|1969129.147389|0.03|0|0|0.03|0.03|0|0
