STD_YM|BLOCK_CD|X_COORD|Y_COORD|FLOW_POP_CNT_MON|FLOW_POP_CNT_TUS|FLOW_POP_CNT_WED|FLOW_POP_CNT_THU|FLOW_POP_CNT_FRI|FLOW_POP_CNT_SAT|FLOW_POP_CNT_SUN
202510|32010350100010000001|1000583.991787|1969379.147389|1.98|1.98|1.98|1.91|2.06|0|0
202510|32010350100010000001|1000583.991787|1969429.147389|2.16|2.03|2.03|1.93|1.78|0|0
202510|32010350100010000001|1000583.991787|1969529.147389|2.11|2.03|1.85|1.8|2.06|0|0
202510|32010350100010000001|1000583.991787|1969579.147389|0.36|0.3|0.48|0.41|0.43|0|0
202510|32010350100010000001|1000583.991787|1969629.147389|3.86|3.68|3.51|3.4|3.48|0|0
202510|32010350100010000001|1000583.991787|1969679.147389|4.9|5.05|5.54|5.13|5.82|0|0
202510|32010350100010000001|1000583.991787|1969779.147389|1.5|1.63|1.5|1.4|1.3|0.03|0.03
202510|32010350100010000001|1000583.991787|1969829.147389|0.08|0.2|0.13|0.1|0.1|0|0
202510|32010350100010000001|1000633.991787|1969179.147389|0.13|0.15|0.15|0.13|0.13|0|0
202510|32010350100010000001|1000633.991787|1969379.147389|2.01|2.03|2.01|1.93|2.11|0|0
202510|32010350100010000001|1000633.991787|1969529.147389|2.26|2.16|1.98|1.93|2.21|0|0
202510|32010350100010000001|1000633.991787|1969579.147389|5.97|5.82|6.27|6.07|5.87|0|0
202510|32010350100010000001|1000633.991787|1969679.147389|5.46|5.82|6.17|5.99|6.32|0|0
202510|32010350100010000001|1000633.991787|1969729.147389|2.69|2.51|2.69|2.74|2.82|0|0
202510|32010350100010000001|1000633.991787|1969929.147389|0.05|0.15|0.08|0.08|0.08|0|0
202510|32010350100010000001|1000633.991787|1970129.147389|0.13|0.15|0.15|0.13|0.15|0.08|0.08
202510|32010350100010000001|1000683.991787|1969279.147389|0.15|0.1|0.15|0.2|0.18|0|0
202510|32010350100010000001|1000683.991787|1969429.147389|0.81|0.76|0.86|0.99|0.94|0|0
202510|32010350100010000001|1000683.991787|1969479.147389|0.84|0.76|0.89|1.02|0.97|0|0
202510|32010350100010000001|1000683.991787|1969529.147389|1.22|1.09|1.27|1.47|1.4|0|0
202510|32010350100010000001|1000683.991787|1969979.147389|0.81|0.84|1.17|0.76|0.69|0|0
202510|32010350100010000001|1000683.991787|1970029.147389|0.81|0.76|0.81|0.74|0.89|0.03|0.03
202510|32010350100010000001|1000683.991787|1970079.147389|0.61|0.58|0.61|0.53|0.66|0.03|0.03
202510|32010350100010000001|1000683.991787|1970129.147389|0.43|0.46|0.53|0.51|0.53|0|0
202510|32010350100010000001|1000733.991787|1969379.147389|0.74|0.66|0.76|0.89|0.84|0|0
202510|32010350100010000001|1000733.991787|1969579.147389|3.91|4.27|5.11|4.14|3.81|0|0
202510|32010350100010000001|1000733.991787|1969629.147389|2.54|2.9|2.9|2.69|2.41|0|0
202510|32010350100010000001|1000733.991787|1969929.147389|1.65|1.57|1.57|1.5|1.37|0|0
202510|32010350100010000001|1000733.991787|1970229.147389|0.05|0.05|0.08|0.08|0.1|0.18|0.13
202510|32010350100010000001|1000783.991787|1969529.147389|3.2|3.23|3.53|3.3|2.92|0|0
202510|32010350100010000001|1000783.991787|1969579.147389|13.97|13.26|15.04|14.07|13.67|0|0
202510|32010350100010000001|1000783.991787|1969629.147389|7.39|7.01|7.04|7.06|7.57|0|0
202510|32010350100010000001|1000783.991787|1970029.147389|1.91|1.8|1.88|1.7|2.08|0|0
202510|32010350100010000001|1000783.991787|1970279.147389|0.03|0.05|0.05|0.05|0.05|0.13|0.08
202510|32010350100010000001|1000833.991787|1969079.147389|0.03|0.03|0.03|0.03|0.03|0|0
202510|32010350100010000001|1000833.991787|1969129.147389|0.03|0.03|0.03|0.03|0.03|0|0
202510|32010350100010000001|1000833.991787|1969179.147389|0.03|0.03|0.03|0.03|0.03|0|0
202510|32010350100010000001|1000833.991787|1969379.147389|1.45|1.4|1.27|1.24|1.42|0|0
202510|32010350100010000001|1000833.991787|1969429.147389|3.4|3.35|3.2|3.1|3.45|0|0
202510|32010350100010000001|1000833.991787|1969479.147389|9.93|9.35|9.65|9.78|10.01|0|0
202510|32010350100010000001|1000833.991787|1969529.147389|15.01|14.3|15.04|15.16|15.34|0.03|0.03
202510|32010350100010000001|1000833.991787|1969579.147389|16.92|16.66|17.55|17.4|16.87|0.03|0.03
202510|32010350100010000001|1000833.991787|1969629.147389|11.94|11.46|11.96|11.99|12.01|0.03|0.03
202510|32010350100010000001|1000833.991787|1969929.147389|3.66|3.56|3.81|3.51|3.66|0.03|0.03
202510|32010350100010000001|1000833.991787|1969979.147389|5.28|6.3|6.83|6.6|7.39|0|0
202510|32010350100010000001|1000833.991787|1970029.147389|10.08|11|11.84|10.69|11.66|0|0
202510|32010350100010000001|1000833.991787|1970079.147389|1.7|1.6|1.68|1.5|1.85|0|0
202510|32010350100010000001|1000833.991787|1970379.147389|0.05|0.05|0.05|0.05|0.05|0.13|0.1
202510|32010350100010000001|1000883.991787|1968579.147389|0.03|0.03|0.03|0.03|0.03|0.03|0.03
202510|32010350100010000001|1000883.991787|1969129.147389|0.03|0.03|0.03|0.03|0.03|0|0
202510|32010350100010000001|1000883.991787|1969229.147389|0.03|0.03|0.03|0.03|0.03|0.05|0.05
202510|32010350100010000001|1000883.991787|1969429.147389|1.47|1.42|1.3|1.27|1.45|0.08|0.08
202510|32010350100010000001|1000883.991787|1969479.147389|2.18|1.93|1.98|2.11|2.21|0|0
202510|32010350100010000001|1000883.991787|1969529.147389|14.38|13.77|14.5|14.53|14.86|0.03|0.03
202510|32010350100010000001|1000883.991787|1969579.147389|28.88|28.4|31.34|29.64|28.8|0.03|0.03
202510|32010350100010000001|1000883.991787|1969629.147389|18.24|17.93|19.35|18.19|17.7|0.1|0.1
202510|32010350100010000001|1000883.991787|1969679.147389|21.54|21.82|23.55|21.46|22.2|0.74|0.69
202510|32010350100010000001|1000883.991787|1969729.147389|3|3.02|3.3|3.07|2.72|0.15|0.18
202510|32010350100010000001|1000883.991787|1969779.147389|14.58|14.61|16.33|14.12|13.94|1.24|1.24
202510|32010350100010000001|1000883.991787|1969829.147389|3.15|3.18|3.89|3.12|2.74|0.2|0.2
202510|32010350100010000001|1000883.991787|1969879.147389|9.53|9.65|9.91|9.75|10.36|0.91|0.84
202510|32010350100010000001|1000883.991787|1969929.147389|8.81|9.07|9.47|9.02|9.98|0.18|0.18
202510|32010350100010000001|1000883.991787|1969979.147389|3.76|3.66|3.71|3.45|3.99|0.03|0.03
202510|32010350100010000001|1000883.991787|1970029.147389|1.42|1.65|1.68|1.88|2.36|0|0
202510|32010350100010000001|1000883.991787|1970079.147389|5.84|7.09|7.85|7.01|8.08|0|0
202510|32010350100010000001|1000883.991787|1970129.147389|1.52|1.93|2.03|1.85|2.21|0.05|0.03
202510|32010350100010000001|1000883.991787|1970379.147389|0.03|0.03|0.03|0.03|0.03|0.05|0.03
202510|32010350100010000001|1000883.991787|1970479.147389|0.05|0.05|0.05|0.03|0.05|0.18|0.18
202510|32010350100010000001|1000883.991787|1970529.147389|0.05|0.05|0.05|0.05|0.05|0.2|0.23
202510|32010350100010000001|1000933.991787|1969179.147389|0.15|0.15|0.18|0.18|0.18|1.32|1.17
202510|32010350100010000001|1000933.991787|1969229.147389|0.33|0.33|0.36|0.33|0.38|2.01|1.78
202510|32010350100010000001|1000933.991787|1969279.147389|0.38|0.36|0.41|0.38|0.43|1.8|1.55
202510|32010350100010000001|1000933.991787|1969329.147389|0.51|0.51|0.56|0.48|0.58|1.47|1.24
202510|32010350100010000001|1000933.991787|1969379.147389|3.1|3|3.33|3.18|3.28|3.48|3.28
202510|32010350100010000001|1000933.991787|1969429.147389|8.89|8.33|9.12|8.51|8.53|1.98|1.88
202510|32010350100010000001|1000933.991787|1969479.147389|6.22|5.97|6.25|6.27|6.27|0.25|0.23
202510|32010350100010000001|1000933.991787|1969529.147389|11.28|11.33|11.66|11.91|12.52|0.03|0.03
202510|32010350100010000001|1000933.991787|1969579.147389|11.86|11.28|11.79|11.76|11.73|0.03|0.03
202510|32010350100010000001|1000933.991787|1969629.147389|6.6|6.35|6.68|6.5|6.25|0.08|0.08
202510|32010350100010000001|1000933.991787|1969679.147389|18.16|17.6|19|17.4|17.37|0.74|0.69
202510|32010350100010000001|1000933.991787|1969729.147389|14.27|13.61|14.27|13.79|14.05|0.97|0.89
202510|32010350100010000001|1000933.991787|1969779.147389|9.37|10.36|11.33|10.9|11.02|1.12|0.99
202510|32010350100010000001|1000933.991787|1969829.147389|5.89|5.97|6.3|6.45|6.78|0.76|0.69
202510|32010350100010000001|1000933.991787|1969879.147389|9.27|9.09|9.35|9.07|9.96|0.99|0.91
202510|32010350100010000001|1000933.991787|1969929.147389|5.16|5.26|5.54|5.44|6.07|0.46|0.41
202510|32010350100010000001|1000933.991787|1970129.147389|2.39|1.85|1.75|1.78|2.18|0.03|0.03
202510|32010350100010000001|1000933.991787|1970179.147389|0.18|0.2|0.23|0.2|0.23|0.53|0.41
202510|32010350100010000001|1000933.991787|1970229.147389|0.18|0.2|0.2|0.2|0.23|0.71|0.56
202510|32010350100010000001|1000933.991787|1970279.147389|0.36|0.41|0.43|0.38|0.41|1.07|0.81
202510|32010350100010000001|1000933.991787|1970329.147389|0.2|0.23|0.25|0.23|0.25|0.81|0.58
202510|32010350100010000001|1000933.991787|1970379.147389|0.2|0.25|0.28|0.23|0.25|0.76|0.58
202510|32010350100010000001|1000933.991787|1970479.147389|0.03|0.03|0.03|0.03|0.03|0.1|0.05
202510|32010350100010000001|1000933.991787|1970579.147389|0.05|0.05|0.05|0.05|0.08|0.08|0.08
202510|32010350100010000001|1000933.991787|1970629.147389|1.52|1.68|1.96|1.78|1.93|3.86|3.12
202510|32010350100010000001|1000983.991787|1969129.147389|0.08|0.08|0.1|0.08|0.1|0.18|0.15
202510|32010350100010000001|1000983.991787|1969179.147389|0.2|0.2|0.23|0.18|0.23|1.22|1.04
202510|32010350100010000001|1000983.991787|1969229.147389|0.94|0.94|1.02|0.94|1.04|4.65|3.99
202510|32010350100010000001|1000983.991787|1969279.147389|2.06|1.96|2.11|1.93|2.13|9.32|8.36
202510|32010350100010000001|1000983.991787|1969329.147389|1.35|1.27|1.4|1.37|1.47|6.63|5.82
202510|32010350100010000001|1000983.991787|1969379.147389|4.09|3.84|4.17|3.94|3.94|19.79|18.49
202510|32010350100010000001|1000983.991787|1969429.147389|1.68|1.6|1.83|1.7|1.75|3.96|3.81
202510|32010350100010000001|1000983.991787|1969529.147389|8.15|7.77|8.18|8.26|8.33|0.48|0.43
202510|32010350100010000001|1000983.991787|1969579.147389|4.47|4.32|4.29|4.29|4.62|0|0
202510|32010350100010000001|1000983.991787|1969629.147389|4.7|4.52|4.88|4.78|4.65|0.08|0.05
202510|32010350100010000001|1000983.991787|1969679.147389|1.7|1.63|1.63|1.52|1.42|0.03|0.03
202510|32010350100010000001|1000983.991787|1969779.147389|18.69|19.76|21.46|19.25|20.88|1.88|1.68
202510|32010350100010000001|1000983.991787|1969829.147389|18.52|19.61|20.73|19.35|20.62|1.75|1.52
202510|32010350100010000001|1000983.991787|1969879.147389|16.08|16.69|18.06|16.61|16.99|1.63|1.47
202510|32010350100010000001|1000983.991787|1969929.147389|15.57|15.77|17.42|15.6|16.26|1.45|1.4
202510|32010350100010000001|1000983.991787|1970179.147389|0.05|0.05|0.05|0.05|0.05|0.3|0.25
202510|32010350100010000001|1000983.991787|1970229.147389|0.15|0.13|0.13|0.13|0.13|0.48|0.43
202510|32010350100010000001|1000983.991787|1970279.147389|0.41|0.43|0.48|0.43|0.46|1.83|1.5
202510|32010350100010000001|1000983.991787|1970329.147389|0.61|0.66|0.71|0.64|0.69|2.36|2.03
202510|32010350100010000001|1000983.991787|1970379.147389|0.43|0.48|0.53|0.46|0.51|1.8|1.47
202510|32010350100010000001|1001033.991787|1968979.147389|0.08|0.08|0.08|0.08|0.08|0|0
202510|32010350100010000001|1001033.991787|1969029.147389|0.15|0.15|0.15|0.15|0.15|0|0
202510|32010350100010000001|1001033.991787|1969179.147389|0.97|0.91|1.09|1.02|1.09|2.01|1.8
202510|32010350100010000001|1001033.991787|1969229.147389|2.54|2.64|2.69|2.46|2.77|6.99|5.99
202510|32010350100010000001|1001033.991787|1969279.147389|2.31|2.21|2.44|2.39|2.54|7.52|6.58
202510|32010350100010000001|1001033.991787|1969329.147389|1.6|1.6|1.7|1.52|1.75|5.64|4.83
202510|32010350100010000001|1001033.991787|1969379.147389|0.25|0.25|0.38|0.3|0.36|0.91|0.76
202510|32010350100010000001|1001033.991787|1969429.147389|1.22|1.17|1.35|1.24|1.27|7.44|7.14
202510|32010350100010000001|1001033.991787|1969479.147389|1.4|1.35|1.45|1.42|1.4|3.86|3.68
202510|32010350100010000001|1001033.991787|1969529.147389|2.26|2.18|2.34|2.29|2.24|0.69|0.64
202510|32010350100010000001|1001033.991787|1969579.147389|5.99|5.74|6.02|6.02|6.05|0|0
202510|32010350100010000001|1001033.991787|1969629.147389|1.57|1.52|1.37|1.37|1.55|0|0
202510|32010350100010000001|1001033.991787|1969729.147389|4.29|4.17|4.47|4.39|4.27|0.56|0.53
202510|32010350100010000001|1001033.991787|1969779.147389|14.68|15.57|16.97|15.72|16.69|1.47|1.3
202510|32010350100010000001|1001033.991787|1969829.147389|16.26|17.32|18.57|17.09|18.29|1.55|1.35
202510|32010350100010000001|1001033.991787|1969879.147389|12.95|12.8|13.89|12.85|13.03|1.3|1.22
202510|32010350100010000001|1001033.991787|1969929.147389|1.8|1.7|1.78|1.6|1.98|0.2|0.18
202510|32010350100010000001|1001033.991787|1970279.147389|0.51|0.53|0.58|0.51|0.53|1.93|1.6
202510|32010350100010000001|1001033.991787|1970329.147389|0.74|0.74|0.79|0.74|0.81|2.16|1.83
202510|32010350100010000001|1001033.991787|1970379.147389|0.51|0.53|0.58|0.51|0.56|1.93|1.57
202510|32010350100010000001|1001033.991787|1970629.147389|0.13|0.13|0.13|0.1|0.1|0.18|0.2
202510|32010350100010000001|1001033.991787|1970779.147389|1.04|1.19|1.22|1.37|1.7|1.47|1.07
202510|32010350100010000001|1001083.991787|1968829.147389|0.03|0|0.03|0.03|0.03|0|0
202510|32010350100010000001|1001083.991787|1969079.147389|0.79|0.79|0.79|0.79|0.86|0.18|0.15
202510|32010350100010000001|1001083.991787|1969129.147389|1.24|1.17|1.19|1.24|1.3|0.84|0.74
202510|32010350100010000001|1001083.991787|1969179.147389|2.41|2.34|2.57|2.41|2.67|4.14|3.63
202510|32010350100010000001|1001083.991787|1969229.147389|0.56|0.58|0.86|0.66|0.79|0.94|0.76
202510|32010350100010000001|1001083.991787|1969279.147389|3.84|3.68|4.06|3.94|4.24|7.98|6.99
202510|32010350100010000001|1001083.991787|1969329.147389|1.04|1.02|1.37|1.22|1.35|1.96|1.68
202510|32010350100010000001|1001083.991787|1969379.147389|1.07|1.04|1.17|1.02|1.19|4.09|3.45
202510|32010350100010000001|1001083.991787|1969429.147389|0.41|0.38|0.56|0.48|0.53|1.52|1.42
